episodio,recompensa_total,pasos,terminado_por_muerte,recompensa_final_ajustada
53,1074.8999999999514,2551,True,1074.8999999999514,False
54,1246.6499999999644,1377,True,1246.6499999999644,False
55,1388.849999999897,5509,True,1388.849999999897,False
56,158.20000000001994,10717,True,158.20000000001994,False
57,817.0999999999931,5613,True,817.0999999999931,False
58,445.79999999996534,13608,True,445.79999999996534,False
59,1697.6999999999214,2829,True,1697.6999999999214,False
60,1081.7499999999588,14542,True,1081.7499999999588,False
61,472.34999999999405,627,True,472.34999999999405,False
62,1522.2999999999647,8014,True,1522.2999999999647,False
63,-76.40000000010792,11576,True,-76.40000000010792,False
64,1165.299999999959,1465,True,1165.299999999959,False
65,346.849999999996,797,True,346.849999999996,False
66,1213.2999999998942,3647,True,1213.2999999998942,False
67,1179.4499999999205,3511,True,1179.4499999999205,False
68,1924.7999999999531,4099,True,1924.7999999999531,False
69,-173.35000000005903,9786,True,-173.35000000005903,False
70,1806.0999999998783,6338,True,1806.0999999998783,False
71,1151.549999999954,2293,True,1151.549999999954,False
72,856.49999999998,8972,True,856.49999999998,False
73,541.1999999998131,15001,True,541.1999999998131,False
74,-211.20000000006792,12133,True,-211.20000000006792,False
75,989.5499999999197,4217,True,989.5499999999197,False
76,729.599999999969,1491,True,729.599999999969,False
77,1220.599999999877,6406,True,1220.599999999877,False
78,1347.5999999998842,5199,True,1347.5999999998842,False
79,485.5499999998783,5083,True,485.5499999998783,False
80,1643.1499999999028,3312,True,1643.1499999999028,False
81,1498.349999999969,7338,True,1498.349999999969,False
82,682.7499999999634,2538,True,682.7499999999634,False
83,486.850000000034,21117,True,486.850000000034,False
84,1633.449999999912,7115,True,1633.449999999912,False
85,1501.8499999999278,2460,True,1501.8499999999278,False
